job_due_date,zip,client,job_num,job_name,invoice_num,pmod_or_freight,gross_billed,quantity,pricing,postal_prep,production_cost,per_piece,data_cost,postage_psi,data_po_num,three_point_five_percent_cc_fee,special_product_envelopes_env_printing,special_product_envelopes_env_printing_notes,paper_color_print_cost,paper_color_print_cost_notes,shipping_pmod_cost_finishes,shipping_per_piece,misc_cost_pmod_labor_purl_var_img,gross_cost,net_gross_margin_for_labor,sales_rep,comm_paid,new_client,gross_margin_per_piece,comments_descriptions,production_type,all_added_costs
2/22/2019,95112,Real Property Acquisitions,65949,Casa Grande Streetview PC 022219,232358,None,237.32,312,0.76,25,0,0,0,109.2,unknown,unknown,,,,,,,10.92,43.72,84.4,Flip Talk,unknown,unknown,0.27,"White 20# White,  ,  ",Post Card, | postCardCost = 0.025 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
2/22/2019,95112,Real Property Acquisitions,65950,New Doodle Streetview PC 022219,232359,None,2264.46,6186,0.37,25,0,0,0,1593.5,unknown,unknown,,,,,,,216.51,396.16,274.8,Flip Talk,unknown,unknown,0.04,"White 20# White,  ,  ",Post Card, | postCardCost = 0.025 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
3/1/2019,95112,Real Property Acquisitions,65951,New Doodle Streetview PC 030119,233282,None,2266.26,6191,0.37,25,0,0,0,1594.47,unknown,unknown,,,,,,,216.69,396.46,275.33,Flip Talk,unknown,unknown,0.04,"White Vellum Bristol 67# White Vellum Bristol,  ,  ",Post Card, | postCardCost = 0.025 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
3/8/2019,95112,Real Property Acquisitions,65952,New Doodle Streetview PC 030819,233540,None,2262.66,6181,0.37,25,0,0,0,1598.68,unknown,unknown,,,,,,,216.34,395.86,268.12,Flip Talk,unknown,unknown,0.04,"White Vellum Bristol 67# White Vellum Bristol,  ,  ",Post Card, | postCardCost = 0.025 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
3/15/2019,95112,Real Property Acquisitions,65953,New Doodle Streetview PC 031519,233700,None,2256.9,6165,0.37,25,0,0,0,1600.72,unknown,unknown,,,,,,,215.78,394.9,261.28,Flip Talk,unknown,unknown,0.04,"White 20# White,  ,  ",Post Card, | postCardCost = 0.025 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
3/1/2019,95112,Real Property Acquisitions,66009,Follow Up Streetview PC 030119,233428,None,335.96,586,0.57,25,0,0,0,161.07,unknown,unknown,,,,,,,20.51,60.16,114.73,Flip Talk,unknown,unknown,0.2,"White Vellum Bristol 67# White Vellum Bristol,  ,  ",Post Card, | postCardCost = 0.025 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
3/8/2019,95112,Real Property Acquisitions,66010,Follow Up Streetview PC 030819,233703,None,313.28,523,0.6,25,0,0,0,139.1,unknown,unknown,,,,,,,0,38.075,136.105,Flip Talk,unknown,unknown,0.26,"White 20# White,  ,  ",Post Card, | postCardCost = 0.025 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
3/15/2019,95112,Real Property Acquisitions,66011,Follow Up Streetview PC 031519,233704,None,320.12,542,0.59,25,0,0,0,144.2,unknown,unknown,,,,,,,0,38.55,137.37,Flip Talk,unknown,unknown,0.25,"White 20# White,  ,  ",Post Card, | postCardCost = 0.025 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
3/22/2019,95112,Real Property Acquisitions,66012,Follow Up Streetview PC 032219,233705,None,315.44,529,0.6,25,0,0,0,140.82,unknown,unknown,,,,,,,18.52,56.74,117.88,Flip Talk,unknown,unknown,0.22,"White 20# White,  ,  ",Post Card, | postCardCost = 0.025 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
3/1/2019,95112,Beachworks LLC,66303,BEACHWORKS GOOGLE IMAGE PC 030119,233416,None,3193.62,8767,0.36,25,0,0,0,2252.46,unknown,unknown,,,,,,,306.85,551.02,390.14,Flip Talk,unknown,unknown,0.04,"White 20# White,  ,  ",Post Card, | postCardCost = 0.025 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
3/15/2019,95112,Serene Homebuyer,66755,Serene Doodle PC ,233821,None,1315.5,3550,0.37,25,0,0,71,909.82,unknown,unknown,,,,,,,0,131.5,274.18,Flip Talk,unknown,unknown,0.08,"White 20# White,  ,  ",Post Card, | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
3/15/2019,95112,"Gillespie Brothers Enterprises, LLC",66793,Streetview PC 031519,233927,None,1780.02,4468,0.4,25,0,0,89.36,1139.19,unknown,unknown,,,,,,,156.38,293.08,347.75,Flip Talk,unknown,unknown,0.08,"White 20# White,  ,  ",Post Card, | postCardCost = 0.025 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
3/22/2019,95112,"Gillespie Brothers Enterprises, LLC",66794,Streetview PC 032219,233930,None,1780.41,4469,0.4,25,0,0,89.38,1157.87,unknown,unknown,,,,,,,156.42,293.14,329.4,Flip Talk,unknown,unknown,0.07,"White 20# White,  ,  ",Post Card, | postCardCost = 0.025 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
3/16/2019,95112,Beachworks LLC,67052,BEACHWORKS GOOGLE IMAGE PC 031519,234053,None,805.76,1891,0.43,25,0,0,0,503.75,unknown,unknown,,,,,,,66.19,138.46,163.55,Flip Talk,unknown,unknown,0.09,"White 20# White,  ,  ",Post Card, | postCardCost = 0.025 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
3/16/2019,95112,Beachworks LLC,67056,BEACHWORKS BRANDED PC 031519,234087,None,661.2,1890,0.35,25,0,0,0,501.8,unknown,unknown,,,,,,,0,81.7,77.7,Flip Talk,unknown,unknown,0.04,"White 20# White,  ,  ",Post Card, | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
3/22/2019,95112,Beachworks LLC,67214,BEACHWORKS GOOGLE IMAGE PC 032219,234375,None,2474.7,6770,0.37,25,0,0,0,1721.26,unknown,unknown,,,,,,,236.95,431.2,322.24,Flip Talk,unknown,unknown,0.05,"White 20# White,  ,  ",Post Card, | postCardCost = 0.025 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
3/23/2019,95112,Beachworks LLC,67215,BEACHWORKS BRANDED PC 032319,234376,None,2272.92,6774,0.34,25,0,0,0,1722.61,unknown,unknown,,,,,,,0,228.22,322.09,Flip Talk,unknown,unknown,0.05,"White 20# White,  ,  ",Post Card, | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
3/22/2019,95112,Real Property Acquisitions,67252,Yellow Doodle PC 032219,234320,None,2078.88,6186,0.34,25,0,0,0,1593.55,unknown,unknown,,,,,,,0,210.58,274.75,Flip Talk,unknown,unknown,0.04,"White 20# White,  ,  ",Post Card, | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
3/29/2019,95112,Real Property Acquisitions,67253,Yellow Doodle PC 032919,234408,None,2080.2,6190,0.34,25,0,0,0,1594.3,unknown,unknown,,,,,,,0,210.7,275.2,Flip Talk,unknown,unknown,0.04,"White 20# White,  ,  ",Post Card, | postCardCost = 0.03 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
3/29/2019,95112,Real Property Acquisitions,67570,Mobile Home Image PC 032919,234584,None,1080.44,2654,0.41,25,0,0,0,704.42,unknown,unknown,,,,,,,92.89,184.24,191.78,Flip Talk,unknown,unknown,0.07,"White Vellum Bristol 67# White Vellum Bristol,  ,  ",Post Card, | postCardCost = 0.025 |  | streetViewCost = 0.035 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
3/29/2019,95112,HomeBuyers Of Pittsburgh,67587,HOMEBUYERS OF PITTBURGH PC   032919,234599,None,2826.55,7901,0.36,25,0,0,0,2008.74,unknown,unknown,,,,,,,0,222.525,595.285,Flip Talk,unknown,unknown,0.08,"White 20# White,  ,  ",Post Card, | postCardCost = 0.025 |  | $BASE_COST = 0 |  | SetupFee_postalPrep = 25 |  | SetupFee_oversizedEnvelope = 0 | 
