ZipsServed,SCF,City,Zip,Sac,Den,Atl,Bal
770,HOUSTON,HOUSTON,77201-9998,6,5,5,
773,NORTH HOUSTON,NORTH HOUSTON,77315-9900,7,5,5,
774,NORTH HOUSTON,NORTH HOUSTON,77315-9900,7,5,5,
775,NORTH HOUSTON,NORTH HOUSTON,77315-9900,7,5,5,
776,BEAUMONT,BEAUMONT,77707-9998,7,5,5,
777,BEAUMONT,BEAUMONT,77707-9998,7,5,5,
778,BRYAN,BRYAN,77801-9998,7,5,5,
779,VICTORIA,VICTORIA,77901-9998,7,5,5,
780,SAN ANTONIO,SAN ANTONIO,78284-9991,7,5,5,
781,SAN ANTONIO,SAN ANTONIO,78284-9991,7,5,5,
782,SAN ANTONIO,SAN ANTONIO,78284-9991,7,5,5,
783,CORPUS CHRISTI,CORPUS CHRISTI,78469-9998,7,5,5,
784,CORPUS CHRISTI,CORPUS CHRISTI,78469-9998,7,5,5,
711,SHREVEPORT,SHREVEPORT,71102-9998,7,5,4,
712,MONROE,MONROE,71203-9998,7,5,4,
713,ALEXANDRIA,,-,7,5,4,
714,ALEXANDRIA,,-,7,5,4,
787,AUSTIN,AUSTIN,78710-9998,7,5,5,
788,SAN ANTONIO,SAN ANTONIO,78284-9991,7,5,5,
789,AUSTIN,AUSTIN,78710-9998,7,5,5,
790,AMARILLO,AMARILLO,79120-9998,6,4,5,
791,AMARILLO,AMARILLO,79120-9998,6,4,5,
792,CHILDRESS,CHILDRESS,79201-9998,6,4,5,
798,EL PASO,EL PASO,79910-9998,5,4,6,
799,EL PASO,EL PASO,79910-9998,5,4,6,
800,DENVER PDC,DENVER,80266-0001,5,1,6,
801,DENVER PDC,DENVER,80266-0001,5,1,6,
802,DENVER PDC,DENVER,80266-0001,5,1,6,
803,DENVER PDC,DENVER,80266-0001,5,1,6,
804,DENVER PDC,DENVER,80266-0001,5,1,6,
805,TWIN PEAKS,LONGMONT,80504-9997,5,1,6,
806,DENVER PDC,DENVER,80266-0001,5,1,6,
807,DENVER PDC,DENVER,80266-0001,5,1,6,
808,COLORADO SPRINGS,COLORADO SPRINGS,80910-3733,5,1,6,
809,COLORADO SPRINGS,COLORADO SPRINGS,80910-3733,5,1,6,
810,COLORADO SPRINGS,COLORADO SPRINGS,80910-3733,5,1,6,
811,ALAMOSA,ALAMOSA,81101-9998,5,1,6,
812,SALIDA,SALIDA,81201-2843,5,1,6,
813,DURANGO,,-,5,2,6,
814,GRAND JUNCTION,GRAND JUNCTION,81505-1016,5,3,6,
815,GRAND JUNCTION,GRAND JUNCTION,81505-1016,5,3,6,
816,GLENWOOD SPRINGS,GLENWOOD SPRINGS,81601-2595,5,3,6,
821,BILLINGS,BILLINGS,59101-4561,5,4,7,
822,WHEATLAND,WHEATLAND,82201-9998,5,2,6,
823,RAWLINS,RAWLINS,82301-9998,5,2,6,
824,WORLAND,WORLAND,82401-9998,5,3,6,
825,RIVERTON,RIVERTON,82501-9998,5,3,6,
826,CASPER,CASPER,82609-9998,5,3,6,
827,GILLETTE,GILLETTE,82716-9998,5,3,6,
828,SHERIDAN,SHERIDAN,82801-9998,5,3,6,
830,ROCK SPRINGS,,-,5,3,6,
831,ROCK SPRINGS,,-,5,3,6,
832,POCATELLO MP ANNEX,POCATELLO,83202-1970,4,4,7,
833,TWIN FALLS MP ANNEX,TWIN FALLS,83301-9998,4,5,8,
834,POCATELLO MP ANNEX,POCATELLO,83202-1970,4,4,7,
835,LEWISTON PDF,LEWISTON,83501-9998,5,5,8,
836,BOISE PDC,BOISE,83708-9997,4,5,8,
837,BOISE PDC,BOISE,83708-9997,4,5,8,
838,SPOKANE PDC,SPOKANE,99224-9997,5,5,8,
717,CAMDEN ANNEX,CAMDEN,71701-4605,7,5,4,
718,TEXARKANA,TEXARKANA,75501-9998,7,5,4,
794,LUBBOCK,LUBBOCK,79402-9998,6,4,5,
841,SALT LAKE CITY,SALT LAKE CITY,84199-9997,4,4,7,
842,SALT LAKE CITY,SALT LAKE CITY,84199-9997,4,4,7,
843,SALT LAKE CITY,SALT LAKE CITY,84199-9997,4,4,7,
844,SALT LAKE CITY,SALT LAKE CITY,84199-9997,4,4,7,
796,ABILENE,ABILENE,79601-9997,6,4,5,
846,PROVO,PROVO,84606-9998,4,4,7,
847,PROVO,PROVO,84606-9998,4,4,7,
852,PHOENIX SCF,PHOENIX,85026-9800,5,4,7,
853,PHOENIX SCF,PHOENIX,85026-9800,5,4,7,
856,TUCSON,TUCSON,85726-9901,5,4,7,
857,TUCSON,TUCSON,85726-9901,5,4,7,
874,FARMINGTON,FARMINGTON,87401-9998,5,4,6,
875,ALBUQUERQUE,ALBUQUERQUE,87101-0001,5,4,6,
877,LAS VEGAS,LAS VEGAS,87701-9998,5,4,6,
878,SOCORRO,SOCORRO,87801-9998,5,4,6,
879,TRUTH OR CONSEQUENCES,TRUTH OR CONSEQUENCES,87901-9998,5,4,6,
880,LAS CRUCES,LAS CRUCES,88001-9998,5,4,6,
881,NORTHWEST STATION,CLOVIS,88101-4199,6,4,5,
882,ROSWELL ANNEX,ROSWELL,88203-9998,6,4,5,
883,ALAMOGORDO,ALAMOGORDO,88310-9998,5,4,6,
884,TUCUMCARI,TUCUMCARI,88401-9998,5,4,6,
885,EL PASO,EL PASO,79910-9998,5,4,6,
860,FLAGSTAFF,FLAGSTAFF,86004-9998,5,4,7,
864,KINGMAN,KINGMAN,86401-9998,4,5,7,
871,ALBUQUERQUE,ALBUQUERQUE,87101-0001,5,4,6,
890,LAS VEGAS,LAS VEGAS,89199-9998,4,5,7,
891,LAS VEGAS,LAS VEGAS,89199-9998,4,5,7,
911,PASADENA,PASADENA,91109-9997,4,5,8,
912,PASADENA,PASADENA,91109-9997,4,5,8,
913,VAN NUYS,SANTA CLARITA,91383-9997,4,5,8,
914,VAN NUYS,SANTA CLARITA,91383-9997,4,5,8,
915,VAN NUYS,SANTA CLARITA,91383-9997,4,5,8,
916,VAN NUYS,SANTA CLARITA,91383-9997,4,5,8,
917,INDUSTRY,CITY OF INDUSTRY,91715-9998,4,5,8,
918,INDUSTRY,CITY OF INDUSTRY,91715-9998,4,5,8,
919,SAN DIEGO,SAN DIEGO,92199-9003,4,5,8,
920,SAN DIEGO,SAN DIEGO,92199-9003,4,5,8,
921,SAN DIEGO,SAN DIEGO,92199-9003,4,5,8,
922,SAN BERNARDINO,SAN BERNARDINO,92403-9997,4,5,8,
923,SAN BERNARDINO,SAN BERNARDINO,92403-9997,4,5,8,
924,SAN BERNARDINO,SAN BERNARDINO,92403-9997,4,5,8,
925,SAN BERNARDINO,SAN BERNARDINO,92403-9997,4,5,8,
926,SANTA ANA,SANTA ANA,92799-0101,4,5,8,
927,SANTA ANA,SANTA ANA,92799-0101,4,5,8,
928,ANAHEIM,ANAHEIM,92899-9998,4,5,8,
931,SANTA BARBARA,GOLETA,93199-9997,4,5,8,
932,BAKERSFIELD,BAKERSFIELD,93380-9998,3,5,8,
933,BAKERSFIELD,BAKERSFIELD,93380-9998,3,5,8,
934,SANTA BARBARA,GOLETA,93199-9997,4,5,8,
935,MOJAVE,MOJAVE,93501-9998,2,5,8,
936,FRESNO,FRESNO,93706-8000,2,5,8,
937,FRESNO,FRESNO,93706-8000,2,5,8,
939,SALINAS,SALINAS,93907-8000,2,5,8,
940,SAN FRANCISCO,SAN FRANCISCO,94188-,2,5,8,
941,SAN FRANCISCO,SAN FRANCISCO,94188-,2,5,8,
942,SACRAMENTO,WEST SACRAMENTO,95799-0100,1,5,8,
943,SAN FRANCISCO,SAN FRANCISCO,94188-,2,5,8,
944,SAN FRANCISCO,SAN FRANCISCO,94188-,2,5,8,
945,OAKLAND,OAKLAND,94615-0001,2,5,8,
946,OAKLAND,OAKLAND,94615-0001,2,5,8,
947,OAKLAND,OAKLAND,94615-0001,2,5,8,
948,OAKLAND,OAKLAND,94615-0001,2,5,8,
949,NORTH BAY,PETALUMA,94999-9998,2,5,8,
950,SAN JOSE,SAN JOSE,95101-9998,2,5,8,
951,SAN JOSE,SAN JOSE,95101-9998,2,5,8,
952,STOCKTON,STOCKTON,95213-9998,1,5,8,
953,STOCKTON,STOCKTON,95213-9998,1,5,8,
954,NORTH BAY,PETALUMA,94999-9998,2,5,8,
955,EUREKA,EUREKA,95501-9903,3,6,8,
956,SACRAMENTO,WEST SACRAMENTO,95799-0100,1,5,8,
957,SACRAMENTO,WEST SACRAMENTO,95799-0100,1,5,8,
958,SACRAMENTO,WEST SACRAMENTO,95799-0100,1,5,8,
959,MARYSVILLE,OLIVEHURST,95961-9997,2,5,8,
960,REDDING,REDDING,96049-9998,2,5,8,
961,RENO,RENO,89510-9991,2,5,8,
901,LOS ANGELES,LOS ANGELES,90052-9998,4,5,8,
902,LOS ANGELES,LOS ANGELES,90052-9998,4,5,8,
903,LOS ANGELES,LOS ANGELES,90052-9998,4,5,8,
904,LOS ANGELES,LOS ANGELES,90052-9998,4,5,8,
905,LONG BEACH,LONG BEACH,90809-9998,4,5,8,
906,LONG BEACH,LONG BEACH,90809-9998,4,5,8,
907,LONG BEACH,LONG BEACH,90809-9998,4,5,8,
908,LONG BEACH,LONG BEACH,90809-9998,4,5,8,
894,RENO,RENO,89510-9991,2,5,8,
895,RENO,RENO,89510-9991,2,5,8,
898,ELKO,ELKO,89801-9997,4,4,7,
963,SAN FRANCISCO,SAN FRANCISCO,94188-,2,5,8,
965,SAN FRANCISCO,SAN FRANCISCO,94188-,2,5,8,
966,SAN FRANCISCO,SAN FRANCISCO,94188-,2,5,8,
971,PORTLAND,PORTLAND,97208-8098,4,5,8,
972,PORTLAND,PORTLAND,97208-8098,4,5,8,
973,SALEM,SALEM,97301-5048,4,5,8,
974,EUGENE P&DF,SPRINGFIELD,97477-1186,4,5,8,
975,MEDFORD,MEDFORD,97501-1357,3,5,8,
976,KLAMATH FALLS,KLAMATH FALLS,97601-9998,3,5,8,
977,BEND,BEND,97701-3615,4,5,8,
978,PENDLETON,PENDLETON,97801-9998,4,5,8,
979,BOISE PDC,BOISE,83708-9997,4,5,8,
980,SEATTLE,TUKWILA,98168-1899,5,6,8,
981,SEATTLE,TUKWILA,98168-1899,5,6,8,
982,EVERETT,EVERETT,98203-6230,5,6,8,
983,TACOMA,TACOMA,98413-9997,4,5,8,
984,TACOMA,TACOMA,98413-9997,4,5,8,
985,OLYMPIA,TUMWATER,98501-9991,4,5,8,
986,PORTLAND,PORTLAND,97208-8098,4,5,8,
989,YAKIMA,YAKIMA,98903-9998,4,5,8,
990,SPOKANE PDC,SPOKANE,99224-9997,5,5,8,
991,SPOKANE PDC,SPOKANE,99224-9997,5,5,8,
992,SPOKANE PDC,SPOKANE,99224-9997,5,5,8,
993,PASCO PDF,PASCO,99301-3800,5,5,8,
994,LEWISTON PDF,LEWISTON,83501-9998,5,5,8,
995,ANCHORAGE PLANT,ANCHORAGE,99530-9998,8,8,8,
996,ANCHORAGE PLANT,ANCHORAGE,99530-9998,8,8,8,
997,FAIRBANKS PLANT,FAIRBANKS,99709-9998,8,8,8,
998,JUNEAU PLANT,JUNEAU,99801-7111,7,8,8,
999,KETCHIKAN,KETCHIKAN,99901-9998,6,7,8,
968,HONOLULU,HONOLULU,96820-9500,8,8,8,
197,WILMINGTON P & DC,NEW CASTLE,19720-4183,8,7,5,1
193,SOUTHEASTERN P&DC,SOUTHEASTERN,19399-9992,8,7,5,1
200,WASHINGTON,WASHINGTON,20018-1004,8,7,4,1*
214,LINTHICUM  IMF,LINTHICUM HEIGHTS,21090-2225,8,7,4,1*
226,WINCHESTER,WINCHESTER,22601-9998,8,7,4,1*
267,CUMBERLAND,CUMBERLAND,21502-9998,8,7,4,1*
254,MARTINSBURG,MARTINSBURG,25404-9998,8,7,4,2
157,JOHNSTOWN,JOHNSTOWN,15904-6940,8,6,4,2
168,ALTOONA,DUNCANSVILLE,16635-9997,8,6,4,2
194,SOUTHEASTERN P&DC,SOUTHEASTERN,19399-9992,8,7,5,2
166,ALTOONA,DUNCANSVILLE,16635-9997,8,6,4,2
104,BRONX,BRONX,10451-9998,8,7,5,2
100,NEW YORK,NEW YORK,10199-9704,8,7,5,2
155,JOHNSTOWN,JOHNSTOWN,15904-6940,8,6,4,2
70,DOMINICK V DANIELS,KEARNY,07099-9400,8,7,5,2
228,CHARLOTTESVILLE,CHARLOTTESVILLE,22911-9002,8,7,4,2*
224,RICHMOND,RICHMOND,23232-9998,8,7,4,2*
238,RICHMOND,RICHMOND,23232-9998,8,7,4,2*
244,CHARLOTTESVILLE,CHARLOTTESVILLE,22911-9002,8,7,4,2*
90,KILMER,EDISON,08899-9997,8,7,5,2+
5,MID ISLAND,MELVILLE,11747-3832,8,7,5,3
10,SPRINGFIELD P & D CTR,SPRINGFIELD,01152-9900,8,7,5,3
60,HARTFORD,HARTFORD,06101-9998,8,7,5,3
156,GREENSBURG MPC,YOUNGWOOD,15697-1711,8,6,4,3
105,WESTCHESTER,WHITE PLAINS,10610-1000,8,7,5,3
103,STATEN ISLAND,STATEN ISLAND,10314-2967,8,7,5,3
167,ERIE,ERIE,16515-9998,8,6,4,3
243,ROANOKE,ROANOKE,24022-9998,8,6,4,3
270,GREENSBORO,GREENSBORO,27498-9795,8,6,3,3
283,FAYETTEVILLE,FAYETTEVILLE,28301-5027,8,7,4,3
240,ROANOKE,ROANOKE,24022-9998,8,6,4,3
255,HUNTINGTON,HUNTINGTON,25704-9998,8,7,4,3
160,NEW CASTLE,NEW CASTLE,16108-9998,8,6,4,3
439,STEUBENVILLE,STEUBENVILLE,43952-9998,8,6,4,3
415,PIKEVILLE,PIKEVILLE,41501-9998,8,6,4,3
411,ASHLAND,ASHLAND,41101-9998,8,6,4,3
233,NORFOLK,NORFOLK,23501-9908,8,7,4,3*
242,BRISTOL,BRISTOL,24203-9998,8,6,2,4
280,CHARLOTTE,CHARLOTTE,28228-9880,8,7,4,4
318,COLUMBUS,COLUMBUS,31907-9992,8,6,2,4
287,ASHEVILLE,ASHEVILLE,28810-9998,8,6,2,4
370,NASHVILLE P&DC,NASHVILLE,37230-9997,8,6,2,4
13,SPRINGFIELD P & D CTR,SPRINGFIELD,01152-9900,8,7,5,4
399,ATLANTA,ATLANTA,30304-9997,8,6,1,4
384,COLUMBIA,COLUMBIA,38401-9998,8,5,3,4
413,CAMPTON,CAMPTON,41301-9998,8,6,3,4
430,COLUMBUS,COLUMBUS,43218-9997,8,6,4,4
450,CINCINNATI,CINCINNATI,45234-9998,8,6,4,4
420,PADUCAH,PADUCAH,42003-9998,7,5,4,4
417,HAZARD,HAZARD,41701-9998,8,6,2,4
624,EFFINGHAM,EFFINGHAM,62401-9998,7,5,4,4
376,JOHNSON CITY P&DC,JOHNSON CITY,37601-9998,8,6,2,4
606,CHICAGO,CHICAGO,60699-3916,7,5,4,4
617,BLOOMINGTON,BLOOMINGTON,61701-9988,7,5,4,4
604,SOUTH SUBURBAN,BEDFORD PARK,60499-9998,7,5,4,4
605,FOX VALLEY,FOX VALLEY,60599-9998,7,5,4,5
610,ROCKFORD,ROCKFORD,61125-9997,7,5,4,5
600,PALATINE,PALATINE,60095-9997,7,5,4,5
537,MADISON,MADISON,53714-9998,7,5,5,5
534,MILWAUKEE,MILWAUKEE,53203-3207,7,5,5,5
620,SAINT LOUIS,SAINT LOUIS,63155-9903,7,5,4,5
622,SAINT LOUIS,SAINT LOUIS,63155-9903,7,5,4,5
625,SPRINGFIELD,SPRINGFIELD,62703-9998,7,5,4,5
633,SAINT LOUIS,SAINT LOUIS,63155-9903,7,5,4,5
703,HOUMA,,-,8,6,4,5
700,NEW ORLEANS,NEW ORLEANS,70113-9998,8,6,4,5
683,LINCOLN,LINCOLN,68501-9998,6,4,5,5
664,TOPEKA,TOPEKA,66618-2835,7,4,5,5
680,OMAHA,OMAHA,68108-9998,6,4,5,5
660,KANSAS CITY,KANSAS CITY,66106-9724,7,5,5,5
644,SAINT JOSEPH,SAINT JOSEPH,64501-9998,7,4,5,5
514,CARROLL,CARROLL,51401-9998,7,4,5,5
553,MINNEAPOLIS,MINNEAPOLIS,55401-2002,7,5,5,5
530,MILWAUKEE,MILWAUKEE,53203-3207,7,5,5,5
498,IRON MOUNTAIN,KINGSFORD,49802-9997,7,5,5,5
386,MEMPHIS P&DC,MEMPHIS,38101-7900,7,5,4,5
349,WEST PALM BEACH,WEST PALM BEACH,33416-3599,8,7,4,5
380,MEMPHIS P&DC,MEMPHIS,38101-7900,7,5,4,5
375,MEMPHIS P&DC,MEMPHIS,38101-7900,7,5,4,5
354,TUSCALOOSA,TUSCALOOSA,35405-4552,8,6,2,5
344,GAINESVILLE,GAINESVILLE,32608-9998,8,7,3,5
346,TAMPA P&DC,TAMPA,33630-5000,8,7,4,5
320,JACKSONVILLE,JACKSONVILLE,32203-9998,8,7,3,5
313,SAVANNAH,SAVANNAH,31408-9997,8,7,3,5
719,HOT SPRINGS NATIONAL PARK,HOT SPRINGS NATIONAL PARK,71913-9998,7,5,4,5
716,PINE BLUFF,PINE BLUFF,71601-5004,7,5,4,5
772,HOUSTON,HOUSTON,77201-9998,6,5,5,6
795,ABILENE,ABILENE,79601-9997,6,4,5,6
786,AUSTIN,AUSTIN,78710-9998,7,5,5,6
510,SIOUX CITY,SIOUX CITY,51111-9997,7,4,5,6
669,SALINA,SALINA,67401-9998,6,4,5,6
690,MC COOK,MC COOK,69001-9998,6,3,6,6
705,LAFAYETTE,LAFAYETTE,70501-3601,7,5,4,6
710,SHREVEPORT,SHREVEPORT,71102-9998,7,5,4,6
743,TULSA P & DC,TULSA,74141-9997,6,4,5,6
730,OKLAHOMA CITY,OKLAHOMA CITY,73125-9100,6,4,5,6
570,SIOUX FALLS,SIOUX FALLS,57104-9300,6,4,5,6
580,FARGO,FARGO,58102-4702,6,5,6,6
565,DETROIT LAKES,DETROIT LAKES,56501-9998,6,5,6,6
590,BILLINGS,BILLINGS,59101-4561,5,4,7,7
6,SAN JUAN,SAN JUAN,00936-9312,8,8,7,7
845,PROVO,PROVO,84606-9998,4,4,7,7
797,MIDLAND,MIDLAND,79711-9996,6,4,6,7
873,GALLUP,GALLUP,87301-9998,5,4,6,7
865,GALLUP,GALLUP,87301-9998,5,4,6,7
870,ALBUQUERQUE,ALBUQUERQUE,87101-0001,5,4,6,7
793,LUBBOCK,LUBBOCK,79402-9998,6,4,5,7
785,MCALLEN,MCALLEN,78501-9998,7,5,5,7
820,CHEYENNE,CHEYENNE,82009-9997,5,2,6,7
840,SALT LAKE CITY,SALT LAKE CITY,84199-9997,4,4,7,8
829,ROCK SPRINGS,,-,5,3,6,8
863,PRESCOTT SCF,PRESCOTT,86301-9998,5,4,7,8
893,ELY,ELY,89301-3140,4,5,7,8
889,LAS VEGAS,LAS VEGAS,89199-9998,4,5,7,8
850,PHOENIX SCF,PHOENIX,85026-9800,5,4,7,8
859,SHOW LOW,SHOW LOW,85901-9998,5,4,7,8
855,GLOBE SCF,GLOBE,85501-1494,5,4,7,8
930,OXNARD,OXNARD,93030-8989,4,5,8,8
970,PORTLAND,PORTLAND,97208-8098,4,5,8,8
988,WENATCHEE,WENATCHEE,98801-9777,4,5,8,8
967,HONOLULU,HONOLULU,96820-9500,8,8,8,8
900,LOS ANGELES,LOS ANGELES,90052-9998,4,5,8,8
897,RENO,RENO,89510-9991,2,5,8,8
910,PASADENA,PASADENA,91109-9997,4,5,8,8
598,MISSOULA,MISSOULA,59801-9998,5,5,7,8
962,SAN FRANCISCO,SAN FRANCISCO,94188-,2,5,8,8+
969,BARRIGADA,BARRIGADA,96913-9998,9,9,9,9+
